lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
B.1.1.414,15.45,-1.76,11,10,2020-05-03,2021-03-18,2020-08-19
B.1.1.487,19.01,-4.25,99,80,2020-03-22,2021-04-02,2020-11-20
B.1.1.125,9.14,-4.18,73,26,2020-05-21,2020-07-22,2020-06-21
B.1.1.466,11.42,-4.23,33,18,2020-07-21,2020-08-18,2020-07-27
B.1.1.241,14.92,-6.53,309,218,2020-05-30,2021-09-23,2020-10-23
AH.3,21.11,-4.9,241,136,2020-10-23,2021-09-22,2021-01-01
AH.2,15.48,-5.89,33,21,2020-08-18,2021-01-28,2020-10-22
AH.1,17.83,-8.8,6,5,2021-01-05,2021-01-15,2021-01-10
B.1.1.392,13.26,-8.3,19,13,2020-09-16,2021-01-07,2020-10-25
B.1.1.135,12.89,-4.03,144,109,2020-03-12,2021-04-12,2020-08-15
B.1.1.320,18.48,-5.23,44,28,2020-09-01,2021-02-08,2020-11-27
B.1.1.160,10,-0.43,10,4,2020-05-03,2020-05-16,2020-05-08
L.4,18.5,2.81,16,11,2020-06-29,2020-09-11,2020-07-27
L.3,28.06,0.36,190,142,2020-07-08,2021-09-14,2021-01-26
L.2,12.81,0.15,62,24,2020-03-23,2020-09-21,2020-06-11
B.1.1.10,14.11,1.25,621,341,2020-03-01,2021-07-10,2020-06-14
L.1,15.76,6.64,509,135,2020-03-26,2020-05-28,2020-04-18
B.1.1.17,11.57,2.7,53,19,2020-03-06,2021-03-12,2020-04-14
B.1.1.142,9.94,0.28,16,5,2020-03-03,2021-03-15,2020-04-26
B.1.1.323,10.45,3.14,49,24,2020-03-01,2020-06-16,2020-03-21
B.1.1.257,10.07,2.74,43,23,2020-03-02,2020-04-30,2020-03-22
B.1.1.319,14,-2.57,15,13,2020-03-02,2021-01-02,2020-08-10
B.1.1.308,11.48,-8.58,65,39,2020-08-31,2020-11-15,2020-10-02
B.1.1.310,9.87,-8.6,47,17,2020-08-24,2020-09-27,2020-09-08
B.1.1.309,10.35,-8.75,128,53,2020-07-10,2021-02-02,2020-09-17
