lineage,mean.diffs,clock.residual,num.cases,num.variants,min.coldate,max.coldate,mean.coldate
C.11,22.44,2.14,82,68,2020-04-01,2021-04-30,2020-10-06
B.1.1.1,17.15,0.84,1882,1130,2020-03-02,2021-06-05,2020-08-06
C.33,19.44,-4.23,16,14,2020-06-17,2021-03-01,2020-11-26
C.22,15.18,-1.29,11,9,2020-04-03,2021-01-23,2020-08-08
C.14,19.61,1.35,217,173,2020-03-20,2021-07-30,2020-09-04
C.4,21.84,-1,86,74,2020-05-19,2021-08-18,2020-11-13
C.32,18.3,0.08,43,33,2020-05-07,2021-03-02,2020-09-04
C.7,15.54,2.76,28,13,2020-05-11,2020-07-13,2020-06-13
C.27,16.92,4.47,36,20,2020-04-29,2020-07-04,2020-06-08
C.3,15.12,1.88,89,26,2020-05-20,2020-07-19,2020-06-20
C.10,16,6.01,3,3,2020-04-22,2020-05-08,2020-05-01
C.29,18.5,-3.46,14,14,2020-06-25,2021-02-09,2020-10-31
C.8,14.8,-3.39,213,105,2020-03-31,2021-01-04,2020-09-03
C.12,13.4,-3.9,57,17,2020-08-12,2020-09-11,2020-08-21
C.26,19.49,1.4,117,101,2020-04-28,2021-05-12,2020-09-02
C.28,17.07,-0.09,27,20,2020-04-30,2020-11-24,2020-08-19
C.13,18.81,1.62,31,28,2020-03-29,2021-02-16,2020-08-19
C.38,39.09,4.98,86,61,2021-02-16,2021-07-04,2021-05-04
C.1.2,49.97,9.47,158,156,2021-06-04,2021-12-03,2021-08-10
C.2.1,23.83,-4.59,141,77,2020-12-18,2021-04-17,2021-02-07
C.2,22.38,-0.62,37,32,2020-07-01,2021-01-11,2020-11-16
C.1,16.34,-0.88,171,143,2020-06-12,2021-05-16,2020-08-20
B.1.1.375,25.67,0.93,43,38,2020-10-21,2021-02-08,2020-12-12
C.1.1,23.64,-2.27,11,9,2020-11-25,2021-01-15,2020-12-30
C.31,26.41,1.13,41,31,2020-08-11,2021-03-12,2020-12-21
C.30,21.47,0.62,442,226,2020-08-06,2021-01-25,2020-10-14
C.30.1,25.2,2.33,111,44,2020-10-05,2020-12-28,2020-11-14
C.5,18.22,-2.03,9,9,2020-09-02,2020-11-12,2020-10-05
C.18,18.69,-3.57,163,115,2020-07-01,2021-02-19,2020-11-05
C.19,23.13,-1.96,30,11,2020-12-07,2021-01-04,2020-12-18
C.20,16.83,-9.47,12,12,2020-10-26,2021-02-10,2021-01-05
C.16,26.13,-1.45,533,402,2020-06-26,2021-05-29,2021-01-25
C.40,29.21,-7.36,29,27,2021-02-02,2021-09-04,2021-06-11
C.39,37.27,-0.59,11,9,2021-02-10,2021-08-22,2021-07-01
C.37.1,37.37,0.09,239,162,2021-03-15,2021-11-01,2021-06-22
C.37,34.96,-2.65,6684,5828,2021-02-09,2022-04-13,2021-06-27
C.36,28.62,0.98,836,571,2020-03-13,2021-12-13,2021-01-26
C.36.3,40.5,5.48,1216,870,2021-01-04,2021-12-13,2021-05-18
C.36.3.1,44.65,9.2,149,100,2021-03-29,2021-09-14,2021-05-25
C.17,14.57,0.59,7,7,2020-04-04,2020-10-05,2020-07-01
C.36.1,24.99,-0.07,150,81,2020-09-24,2021-04-04,2020-12-17
C.36.2,26.52,2.02,23,23,2020-10-16,2021-01-29,2020-12-09
